date;municipality_id;municipality_name;municipality_population;dose_1;dose_2;dose_3;valid_certificates;valid_certificates_percent
2022-02-21T23:59:59+01:00;10101;Eisenstadt;14895;12190;11888;9044;11444;76.83115139
2022-02-21T23:59:59+01:00;10201;Rust;2000;1657;1623;1241;1544;77.2
2022-02-21T23:59:59+01:00;10301;Breitenbrunn am Neusiedler See;1883;1562;1542;1255;1504;79.87254381
2022-02-21T23:59:59+01:00;10302;Donnerskirchen;1841;1548;1519;1204;1474;80.06518197
2022-02-21T23:59:59+01:00;10303;Großhöflein;2122;1770;1729;1337;1672;78.79359095
2022-02-21T23:59:59+01:00;10304;Hornstein;3176;2610;2562;1991;2476;77.95969773
2022-02-21T23:59:59+01:00;10305;Klingenbach;1223;933;897;683;860;70.31888798
2022-02-21T23:59:59+01:00;10306;Leithaprodersdorf;1217;1058;1034;820;1018;83.64831553
2022-02-21T23:59:59+01:00;10307;Mörbisch am See;2228;1877;1831;1447;1757;78.85996409
2022-02-21T23:59:59+01:00;10308;Müllendorf;1384;1164;1142;887;1101;79.55202312
2022-02-21T23:59:59+01:00;10309;Neufeld an der Leitha;3587;2878;2799;2137;2706;75.43908559
2022-02-21T23:59:59+01:00;10310;Oggau am Neusiedler See;1738;1515;1489;1218;1455;83.716916
2022-02-21T23:59:59+01:00;10311;Oslip;1271;1102;1088;867;1054;82.92682927
2022-02-21T23:59:59+01:00;10312;Purbach am Neusiedler See;2899;2435;2365;1864;2299;79.303208
2022-02-21T23:59:59+01:00;10313;Sankt Margarethen im Burgenland;2683;2249;2195;1725;2091;77.93514722
2022-02-21T23:59:59+01:00;10314;Schützen am Gebirge;1417;1190;1171;916;1127;79.53422724
2022-02-21T23:59:59+01:00;10315;Siegendorf;3118;2512;2445;1877;2351;75.40089801
2022-02-21T23:59:59+01:00;10316;Steinbrunn;2932;2394;2325;1745;2222;75.78444748
2022-02-21T23:59:59+01:00;10317;Trausdorf an der Wulka;2067;1779;1735;1399;1680;81.27721335
2022-02-21T23:59:59+01:00;10318;Wimpassing an der Leitha;1702;1273;1234;949;1196;70.27027027
2022-02-21T23:59:59+01:00;10319;Wulkaprodersdorf;1982;1586;1540;1146;1454;73.36024218
2022-02-21T23:59:59+01:00;10320;Loretto;476;397;386;304;368;77.31092437
2022-02-21T23:59:59+01:00;10321;Stotzing;823;653;636;515;625;75.94167679
2022-02-21T23:59:59+01:00;10322;Zillingtal;991;787;776;615;751;75.78203835
2022-02-21T23:59:59+01:00;10323;Zagersdorf;1101;922;899;701;864;78.47411444
2022-02-21T23:59:59+01:00;10401;Bocksdorf;815;644;624;482;618;75.82822086
2022-02-21T23:59:59+01:00;10402;Burgauberg-Neudauberg;1334;1005;977;697;948;71.06446777
2022-02-21T23:59:59+01:00;10403;Eberau;928;737;724;576;689;74.24568966
2022-02-21T23:59:59+01:00;10404;Gerersdorf-Sulz;1003;845;830;651;805;80.25922233
2022-02-21T23:59:59+01:00;10405;Güssing;3665;2981;2899;2321;2771;75.60709413
2022-02-21T23:59:59+01:00;10406;Güttenbach;883;758;747;582;695;78.70894677
2022-02-21T23:59:59+01:00;10407;Heiligenbrunn;744;597;582;465;543;72.98387097
2022-02-21T23:59:59+01:00;10408;Kukmirn;2009;1517;1447;1127;1416;70.48282728
2022-02-21T23:59:59+01:00;10409;Neuberg im Burgenland;968;776;753;603;741;76.54958678
2022-02-21T23:59:59+01:00;10410;Neustift bei Güssing;446;363;358;270;347;77.80269058
2022-02-21T23:59:59+01:00;10411;Olbendorf;1457;1121;1083;810;1058;72.61496225
2022-02-21T23:59:59+01:00;10412;Ollersdorf im Burgenland;921;753;728;547;713;77.41585233
2022-02-21T23:59:59+01:00;10413;Sankt Michael im Burgenland;987;770;751;592;713;72.23910841
2022-02-21T23:59:59+01:00;10414;Stegersbach;2688;2095;2024;1518;1953;72.65625
2022-02-21T23:59:59+01:00;10415;Stinatz;1218;1004;980;756;954;78.32512315
2022-02-21T23:59:59+01:00;10416;Strem;872;761;744;586;697;79.93119266
2022-02-21T23:59:59+01:00;10417;Tobaj;1342;1098;1070;853;1022;76.15499255
2022-02-21T23:59:59+01:00;10418;Hackerberg;364;285;276;217;270;74.17582418
2022-02-21T23:59:59+01:00;10419;Wörterberg;479;364;355;255;341;71.18997912
2022-02-21T23:59:59+01:00;10420;Großmürbisch;235;199;197;158;185;78.72340426
2022-02-21T23:59:59+01:00;10421;Inzenhof;330;256;250;200;242;73.33333333
2022-02-21T23:59:59+01:00;10422;Kleinmürbisch;229;207;200;151;189;82.53275109
2022-02-21T23:59:59+01:00;10423;Tschanigraben;67;56;55;44;51;76.11940299
2022-02-21T23:59:59+01:00;10424;Heugraben;227;188;182;137;178;78.41409692
2022-02-21T23:59:59+01:00;10425;Rohr im Burgenland;379;316;307;240;293;77.30870712
2022-02-21T23:59:59+01:00;10426;Bildein;334;271;269;203;252;75.4491018
2022-02-21T23:59:59+01:00;10427;Rauchwart;460;359;343;254;334;72.60869565
2022-02-21T23:59:59+01:00;10428;Moschendorf;386;303;295;252;283;73.31606218
2022-02-21T23:59:59+01:00;10501;Deutsch Kaltenbrunn;1715;1339;1301;1005;1258;73.35276968
2022-02-21T23:59:59+01:00;10502;Eltendorf;901;702;687;519;660;73.25194229
2022-02-21T23:59:59+01:00;10503;Heiligenkreuz im Lafnitztal;1262;976;945;717;916;72.58320127
2022-02-21T23:59:59+01:00;10504;Jennersdorf;4121;3152;3049;2355;2978;72.26401359
2022-02-21T23:59:59+01:00;10505;Minihof-Liebau;1065;835;787;583;783;73.52112676
2022-02-21T23:59:59+01:00;10506;Mogersdorf;1148;877;847;639;820;71.42857143
2022-02-21T23:59:59+01:00;10507;Neuhaus am Klausenbach;920;679;659;522;642;69.7826087
2022-02-21T23:59:59+01:00;10508;Rudersdorf;2144;1704;1656;1251;1619;75.5130597
2022-02-21T23:59:59+01:00;10509;Sankt Martin an der Raab;1965;1549;1501;1177;1453;73.94402036
2022-02-21T23:59:59+01:00;10510;Weichselbaum;707;560;540;397;519;73.40876945
2022-02-21T23:59:59+01:00;10511;Königsdorf;778;612;581;442;572;73.5218509
2022-02-21T23:59:59+01:00;10512;Mühlgraben;383;328;325;238;300;78.32898172
2022-02-21T23:59:59+01:00;10601;Draßburg;1226;1007;981;766;929;75.77487765
2022-02-21T23:59:59+01:00;10602;Forchtenstein;2800;2216;2152;1677;2051;73.25
2022-02-21T23:59:59+01:00;10603;Hirm;1012;855;836;590;801;79.15019763
2022-02-21T23:59:59+01:00;10604;Loipersbach im Burgenland;1201;900;869;644;846;70.44129892
2022-02-21T23:59:59+01:00;10605;Marz;2095;1705;1649;1280;1598;76.27684964
2022-02-21T23:59:59+01:00;10606;Mattersburg;7538;6039;5878;4377;5621;74.56885115
2022-02-21T23:59:59+01:00;10607;Neudörfl;4788;3713;3560;2546;3414;71.30325815
2022-02-21T23:59:59+01:00;10608;Pöttelsdorf;767;640;625;495;602;78.48761408
2022-02-21T23:59:59+01:00;10609;Pöttsching;2996;2402;2339;1762;2262;75.50066756
2022-02-21T23:59:59+01:00;10610;Rohrbach bei Mattersburg;2633;2175;2108;1631;2008;76.26281808
2022-02-21T23:59:59+01:00;10611;Bad Sauerbrunn;2262;1745;1687;1269;1593;70.42440318
2022-02-21T23:59:59+01:00;10612;Schattendorf;2354;1961;1922;1498;1836;77.99490229
2022-02-21T23:59:59+01:00;10613;Sieggraben;1251;1002;975;726;938;74.98001599
2022-02-21T23:59:59+01:00;10614;Sigleß;1139;929;916;740;876;76.9095698
2022-02-21T23:59:59+01:00;10615;Wiesen;2697;2135;2085;1643;2020;74.89803485
2022-02-21T23:59:59+01:00;10616;Antau;768;625;606;443;573;74.609375
2022-02-21T23:59:59+01:00;10617;Baumgarten;885;753;724;589;703;79.43502825
2022-02-21T23:59:59+01:00;10618;Zemendorf-Stöttera;1263;1050;1026;791;985;77.98891528
2022-02-21T23:59:59+01:00;10619;Krensdorf;641;483;471;347;463;72.23088924
2022-02-21T23:59:59+01:00;10701;Andau;2265;1991;1958;1597;1885;83.22295806
2022-02-21T23:59:59+01:00;10702;Apetlon;1746;1468;1439;1169;1381;79.09507446
2022-02-21T23:59:59+01:00;10703;Bruckneudorf;3053;2415;2343;1798;2273;74.45135932
2022-02-21T23:59:59+01:00;10704;Deutsch Jahrndorf;626;468;461;377;438;69.96805112
2022-02-21T23:59:59+01:00;10705;Frauenkirchen;2854;2357;2305;1816;2218;77.71548704
