id;name;hws;m_01;m_02;m_03;m_04;m_05;m_06;m_07;m_08;m_09;m_10;m_11;w_01;w_02;w_03;w_04;w_05;w_06;w_07;w_08;w_09;w_10;w_11
101;Eisenstadt(Stadt);14816;222;206;308;347;351;400;1028;971;2078;1105;147;188;210;270;322;330;406;912;1094;2280;1344;297
102;Rust(Stadt);1980;21;21;37;47;51;37;90;122;295;185;23;27;26;33;39;47;51;98;129;295;226;80
103;Eisenstadt-Umgebung;43236;546;621;816;1046;1001;964;2336;2719;6868;3976;376;525;542;770;939;974;928;2374;2947;6853;4376;739
104;Güssing;25699;250;303;400;553;544;584;1221;1529;4239;2713;273;264;289;371;560;548;510;1145;1566;4211;2999;627
105;Jennersdorf;17097;186;189;245;351;377;394;894;1072;2973;1624;162;183;155;260;338;359;328;829;1046;2921;1807;404
106;Mattersburg;40042;471;553;737;964;1008;1088;2247;2477;6270;3458;334;504;515;761;976;939;981;2286;2577;6266;3876;754
107;Neusiedl am See;59990;809;926;1204;1410;1401;1398;3269;3892;9599;4882;587;777;850;1124;1348;1274;1296;3267;4322;9488;5693;1174
108;Oberpullendorf;37384;419;471;629;828;900;878;1860;2259;6136;3594;414;385;458;632;824;806;806;1816;2294;5951;4149;875
109;Oberwart;54192;648;762;966;1287;1439;1396;2924;3257;8479;4866;506;597;640;922;1246;1299;1249;2770;3412;8687;5733;1107
201;Klagenfurt Stadt;101300;1383;1384;1762;2327;2416;2738;6797;6543;14189;7691;780;1307;1291;1717;2200;2239;2696;6844;6608;16072;10334;1982
202;Villach Stadt;62882;807;793;1125;1427;1544;1628;4170;3982;9173;5061;520;771;807;1075;1357;1425;1515;4033;3991;9981;6478;1219
203;Hermagor;18054;225;252;316;380;450;488;975;1009;2758;1811;257;206;214;282;354;407;436;880;990;2754;2101;509
204;Klagenfurt Land;60014;787;884;1237;1508;1518;1365;3115;3624;9541;5433;516;715;833;1088;1383;1366;1254;3091;3826;9640;6188;1102
205;Sankt Veit an der Glan;54186;681;721;1004;1280;1345;1448;3118;3257;8389;4713;571;664;678;976;1234;1301;1290;2964;3199;8490;5620;1243
206;Spittal an der Drau;75868;947;970;1349;1719;1888;2021;4341;4460;11602;6871;947;941;953;1208;1700;1893;1770;4200;4401;11826;8149;1712
207;Villach Land;64618;774;895;1138;1552;1551;1501;3504;3824;10326;5891;683;711;838;1080;1522;1404;1404;3384;3910;10482;6876;1368
208;Völkermarkt;41862;508;572;803;1111;1022;1067;2383;2733;6649;3477;423;487;508;785;1034;1005;978;2239;2530;6483;4237;828
209;Wolfsberg;52607;699;657;968;1306;1409;1459;2974;3162;8325;4538;606;702;677;908;1193;1277;1289;2764;3073;8069;5389;1163
210;Feldkirchen;29902;385;415;574;734;769;779;1793;1789;4686;2621;322;366;419;519;647;657;714;1668;1701;4706;2990;648
301;Krems an der Donau(Stadt);25036;354;336;370;538;544;776;1834;1607;3628;2083;238;341;298;351;504;545;739;1561;1458;3770;2607;554
302;Sankt Pölten(Stadt);55514;771;807;1075;1360;1543;1712;3843;3536;7878;4163;567;736;715;1041;1279;1355;1505;3580;3525;8157;5290;1076
303;Waidhofen an der Ybbs(Stadt);11222;174;169;245;294;340;364;725;649;1579;889;134;151;152;213;261;297;302;636;660;1622;1079;287
304;Wiener Neustadt(Stadt);45823;751;773;936;1202;1284;1473;3393;3131;6125;2964;328;706;696;963;1134;1154;1419;3229;3117;6499;3833;713
305;Amstetten;116520;1881;2038;2543;3187;3217;3507;7574;7718;17345;8272;1044;1771;1787;2397;2976;2975;3200;7226;7343;16861;9712;1946
306;Baden;146751;1979;2144;2985;3715;3958;3838;8696;9569;22222;11499;1100;1883;2133;2851;3476;3644;3566;8286;9894;22941;14017;2355
307;Bruck an der Leitha;103735;1614;1705;2209;2564;2630;2675;6334;7117;15556;7709;800;1452;1553;2128;2523;2502;2478;6285;7476;15701;9179;1545
308;Gänserndorf;104782;1485;1624;2219;2656;2767;2617;6199;6748;16194;8276;845;1442;1573;2064;2565;2575;2621;6295;6680;16180;9484;1673
309;Gmünd;36553;482;485;618;758;891;1026;2042;2085;5778;3592;446;423;431;610;723;842;824;1877;1940;5593;4208;879
310;Hollabrunn;51033;624;681;954;1115;1283;1327;2976;3022;8232;4582;491;627;670;869;1130;1151;1205;2729;3095;8026;5160;1084
311;Horn;30936;412;442;542;689;787;848;1814;1692;4815;2850;380;397;390;497;669;754;721;1630;1723;4747;3366;771
312;Korneuburg;91254;1225;1335;1863;2288;2433;2461;4984;5743;14673;7130;746;1176;1231;1760;2253;2119;2165;4947;6114;14992;8212;1404
313;Krems(Land);56487;725;772;1100;1412;1448;1531;3029;3507;8836;4893;588;700;726;1012;1344;1312;1390;3052;3518;8987;5533;1072
314;Lilienfeld;25655;376;355;475;627;656;676;1557;1451;3943;2303;323;361;351;464;587;573;672;1369;1421;3798;2746;571
315;Melk;78191;1198;1187;1597;2025;2105;2282;4982;5033;11843;5888;735;1134;1163;1522;1912;1963;2155;4766;4856;11491;6848;1506
316;Mistelbach;75625;980;1026;1426;1727;1843;1916;4449;4563;12102;6651;732;919;1009;1328;1646;1731;1824;4212;4615;12043;7375;1508
317;Mödling;119115;1462;1581;2387;3184;3289;3050;5970;7204;17980;10329;1051;1391;1539;2141;3004;2975;2780;6181;7808;19185;12655;1969
318;Neunkirchen;86343;1116;1234;1619;2094;2210;2286;5116;5387;12904;7361;873;1134;1168;1564;1951;2109;2072;4905;5265;13252;8915;1808
319;Sankt Pölten(Land);131729;1946;2080;2816;3450;3523;3395;7495;8139;20245;10596;1127;1828;1962;2593;3326;3301;3311;7361;8612;20429;11987;2207
320;Scheibbs;41414;654;665;895;1133;1133;1210;2691;2762;5962;3155;416;610;674;800;1042;1110;1136;2529;2570;5873;3651;743
321;Tulln;104593;1445;1613;2116;2711;2668;2700;5793;6509;16155;8424;920;1490;1498;2002;2526;2507;2500;5968;6796;16577;9881;1794
322;Waidhofen an der Thaya;25682;334;365;382;576;639;679;1516;1482;4075;2353;321;266;306;418;574;577;624;1405;1409;3971;2772;638
323;Wiener Neustadt(Land);78307;1140;1150;1601;2004;2034;2042;4588;5025;11762;6469;649;1031;1193;1498;1852;1940;1911;4576;5033;11951;7571;1287
325;Zwettl;41987;553;556;818;987;1073;1230;2596;2494;6719;3659;500;544;534;750;1030;968;1057;2328;2390;6277;4017;907
401;Stadt Linz;206595;3176;3017;3774;4449;4746;6931;17860;14222;26333;14170;1750;3040;2954;3654;4309;4577;6935;16585;13353;27909;18904;3947
402;Stadt Steyr;38056;499;514;719;912;943;1278;2679;2331;5285;3075;377;478;509;658;843;998;1148;2451;2132;5444;4006;777
403;Stadt Wels;62470;1056;1044;1197;1583;1749;2245;4737;3984;8518;4291;464;1007;894;1180;1549;1666;1941;4275;3691;8742;5584;1073
404;Braunau;105553;1713;1693;2122;2595;2685;3217;7368;7147;15767;7641;927;1684;1580;2015;2329;2667;2851;6677;6756;15536;8888;1695
405;Eferding;33178;537;555;681;857;889;1005;2100;2113;5147;2452;259;494;528;628;834;836;856;1991;2088;4981;2844;503
406;Freistadt;66861;1129;1080;1518;1806;1823;2015;4253;4318;10318;4917;560;1043;1020;1400;1725;1848;1753;3951;4161;9780;5414;1029
407;Gmunden;101859;1517;1586;1886;2456;2619;2863;6281;6311;15138;8327;950;1422;1432;1887;2317;2478;2561;5934;6202;15579;10136;1977
408;Grieskirchen;64875;982;1018;1360;1742;1765;2035;4260;4173;9882;4598;580;959;963;1233;1618;1719;1746;3963;4032;9508;5580;1159
409;Kirchdorf;57071;903;866;1274;1528;1581;1708;3580;3654;8501;4412;547;789;816;1130;1493;1452;1561;3303;3546;8335;5033;1059
410;Linz-Land;151371;2470;2590;3380;4004;3975;4207;9948;10244;22130;10908;1183;2348;2413;3147;3747;3807;3924;9502;10081;22400;12729;2234
411;Perg;68968;1118;1185;1417;1958;1904;2073;4489;4550;10475;4754;507;1076;1128;1460;1794;1832;1882;4330;4368;10070;5563;1035
412;Ried;61690;1000;1001;1257;1533;1578;1885;4305;4029;9196;4441;589;881;924;1129;1463;1606;1687;3995;3694;9226;5172;1099
413;Rohrbach;56545;901;1008;1122;1483;1487;1671;3781;3598;8863;4222;505;867;895;1163;1431;1341;1484;3354;3405;8195;4738;1031
414;Schärding;57391;882;874;1201;1433;1542;1746;3782;3729;8796;4311;476;850;810;1073;1383;1471;1567;3471;3463;8444;5130;957
415;Steyr-Land;60717;915;973;1260;1583;1617;1688;3742;3759;9436;4686;599;915;905;1123;1527;1574;1532;3497;3603;9138;5544;1101
416;Urfahr-Umgebung;86005;1281;1463;1813;2249;2334;2325;4980;5620;13345;6728;720;1272;1317;1774;2221;2106;2030;4846;5634;13290;7440;1217
417;Vöcklabruck;137297;2252;2273;2829;3595;3694;4001;9208;8955;20125;10127;1125;2080;2212;2721;3342;3436;3684;8610;8686;20071;12054;2217
418;Wels-Land;73777;1230;1318;1659;2019;2097;2077;4705;4979;11050;5130;556;1136;1219;1585;1885;1848;1835;4554;4880;10876;6054;1085
