id;name;geb_aut;geb_eu;geb_eun;geb_euo;geb_eus;geb_euw;geb_exj;geb_tur;geb_deu;geb_afn;geb_afs;geb_asw;geb_asz;geb_aso;geb_amn;geb_ams;geb_aus;geb_xxx;her_aut;her_eu;her_eun;her_euo;her_eus;her_euw;her_exj;her_tur;her_deu;her_afn;her_afs;her_asw;her_asz;her_aso;her_amn;her_ams;her_aus;her_xxx;sta_aut;sta_eu;sta_eun;sta_euo;sta_eus;sta_euw;sta_exj;sta_tur;sta_deu;sta_afn;sta_afs;sta_asw;sta_asz;sta_aso;sta_amn;sta_ams;sta_aus;sta_xxx
101;Eisenstadt(Stadt);11931;13618;27;1295;646;12253;485;77;286;32;47;153;191;102;32;30;4;4;11659;13596;29;1440;704;12032;483;79;331;37;54;155;200;96;32;29;3;5;12524;13994;24;1125;422;12783;269;38;230;25;42;109;180;59;20;22;0;5
102;Rust(Stadt);1781;1946;0;113;18;1831;11;3;47;1;0;3;6;2;5;0;1;0;1766;1948;0;117;17;1830;11;3;61;1;0;3;5;2;4;0;1;0;1833;1967;0;85;8;1882;6;2;48;0;0;2;3;0;0;0;0;0
103;Eisenstadt-Umgebung;38496;41571;73;2088;1173;39222;822;292;656;30;35;343;93;86;34;49;8;2;37935;41519;87;2293;1338;38782;811;356;766;30;32;409;89;88;31;44;9;4;39653;42291;60;1684;834;40250;429;201;547;13;9;234;60;50;11;24;4;3
104;Güssing;23351;24944;27;1069;343;23845;177;36;391;7;23;110;140;56;48;18;5;8;23092;24890;32;1165;389;23673;196;44;467;8;23;127;141;56;53;17;5;10;23763;25132;19;898;249;24204;124;41;369;7;12;114;125;33;15;11;2;10
105;Jennersdorf;15761;16739;16;539;193;16149;55;25;301;8;10;56;39;29;29;16;2;11;15635;16720;17;580;203;16088;54;29;356;8;8;70;47;27;32;15;2;0;16066;16880;11;447;114;16390;16;18;263;1;7;57;43;17;8;2;0;0
106;Mattersburg;35293;37769;50;1789;1356;35823;1087;483;439;29;59;606;139;97;25;61;5;3;34765;37561;56;1960;1560;35360;1204;532;496;29;68;665;147;97;22;60;5;13;36633;38602;37;1403;944;37006;684;251;314;14;49;352;125;63;11;23;2;13
107;Neusiedl am See;51155;58215;87;5920;800;52235;546;334;940;24;52;419;145;169;52;66;7;14;50246;58221;110;6539;856;51511;521;394;1128;22;52;478;135;167;46;59;7;8;52360;58963;89;5459;482;53368;262;217;907;10;24;277;99;115;25;33;4;5
108;Oberpullendorf;34032;36284;28;1757;772;34463;586;43;368;18;19;95;114;62;14;29;8;5;33678;36236;27;1960;852;34146;571;57;401;19;24;118;115;68;19;27;6;3;34935;36720;16;1393;453;35237;260;43;263;11;20;100;82;49;7;13;1;2
109;Oberwart;48554;52266;62;2811;982;49319;646;107;637;32;59;321;331;131;74;40;9;21;47966;52144;73;3117;1064;48841;648;126;710;41;61;352;342;135;82;39;10;35;49713;52802;53;2384;648;50295;370;79;475;26;30;290;284;106;25;17;1;33
201;Klagenfurt Stadt;80421;89651;269;3216;9529;83778;6110;273;2942;428;453;1093;1384;578;154;323;39;56;77815;89821;325;3591;11138;81442;5634;312;3174;430;500;1203;1490;610;170;306;38;57;83769;93238;247;2857;8381;86201;3701;181;2166;181;363;1008;1237;449;107;196;16;57
202;Villach Stadt;49290;54990;156;1782;6371;51509;4060;226;1896;245;116;1059;817;459;113;197;16;42;47262;54991;183;2090;7484;49753;3625;269;2137;253;115;1196;893;461;124;178;17;135;50307;56816;146;1822;5921;52159;2521;184;1618;143;58;1080;810;376;103;118;11;135
