id;name;Politische Bezirke;2011;2012;2013;2014;2015;2016;2017;bruttoeinkommen_2018;pendler_2018;unselbststaendig_beschaeftigte_jan2020;arbeitslose_jan2020;Politischer Bezirk;Insgesamt;Pflichtschule;Lehre;BMS;AHS;BHS;Kolleg;Akademie;Hochschule
101;Eisenstadt(Stadt);Eisenstadt (Stadt);34784;35458;36356;35792;36958;37668;38418;39101;3119;5985;507;Eisenstadt (Stadt);8194;1041;2049;1250;658;999;66;268;1863
102;Rust(Stadt);Rust (Stadt);27190;27463;27945;28817;30728;30356;31475;33319;595;733;82;Rust (Stadt);1014;131;412;163;49;124;8;15;112
103;Eisenstadt-Umgebung;Eisenstadt-Umgebung;31768;32783;33012;33786;34843;35389;36095;37168;16807;18309;1457;Eisenstadt-Umgebung;23903;3301;8246;4427;1329;2932;168;504;2996
104;Güssing;Güssing;27664;28413;28817;29419;30201;30753;31512;32482;8741;8926;1080;Güssing;14100;2824;5100;2578;706;1248;96;353;1195
105;Jennersdorf;Jennersdorf;26147;27141;27767;28499;29250;29595;30273;31363;6119;6587;692;Jennersdorf;9686;1862;3874;1721;506;686;85;260;692
106;Mattersburg;Mattersburg;29835;30706;31430;32129;32757;33316;34064;35112;15072;16673;1621;Mattersburg;22104;3346;7906;3663;1268;2527;187;592;2615
107;Neusiedl am See;Neusiedl am See;29525;30728;31509;32177;32970;33688;34324;35295;20687;21310;2173;Neusiedl am See;33761;5337;10804;6896;1833;3784;270;713;4124
108;Oberpullendorf;Oberpullendorf;28915;29754;30617;30890;31666;32284;32897;33891;12892;14150;1378;Oberpullendorf;20484;3089;7588;4219;1002;2213;148;449;1776
109;Oberwart;Oberwart;27353;28145;28823;29365;30052;30781;31434;32535;18152;20725;2458;Oberwart;29593;5031;10810;5617;1390;3035;197;691;2822
201;Klagenfurt Stadt;Klagenfurt Stadt;29928;30564;31127;31381;32026;32549;32992;33912;12117;39915;5673;Klagenfurt (Stadt);56976;9951;16238;6764;4054;5706;462;1539;12262
202;Villach Stadt;Villach Stadt;28256;29274;29574;30152;31006;31863;32045;33066;9344;24305;3840;Villach (Stadt);34855;5783;12403;4473;1763;3645;198;753;5837
203;Hermagor;Hermagor;23848;24205;24747;25560;26113;26834;27463;28989;4063;6606;561;Hermagor;9466;925;4077;1870;400;950;75;293;876
204;Klagenfurt Land;Klagenfurt Land;29100;30045;30683;31208;31935;32931;33610;34662;21757;21838;2475;Klagenfurt Land;32800;3726;12234;5223;1702;3824;252;902;4937
205;Sankt Veit an der Glan;Sankt Veit an der Glan;26956;27749;28158;28631;29492;30334;30801;32075;16647;19757;2467;Sankt Veit an der Glan;29589;4327;12497;4831;1156;3072;131;741;2834
206;Spittal an der Drau;Spittal an der Drau;25243;26012;26192;26872;27741;28388;29001;29918;21305;27366;3967;Spittal an der Drau;41070;4926;19350;7293;1520;3614;204;892;3271
207;Villach Land;Villach Land;27181;28078;28715;29441;30294;31199;31825;33143;21873;24294;2751;Villach Land;35555;3868;15272;5984;1582;3804;220;762;4063
